filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 1062).jpg,0,1000,600,135.851,0.198656,0.232704,0.400128,117.158
cat_1000x600 (Copy 65).jpg,1,1000,600,339.743,0.18944,0.133216,0.362144,320.901
cat_1000x600 (Copy 355).jpg,1,1000,600,137.932,0.189344,0.098656,0.375104,119.385
cat_1000x600 (Copy 1319).jpg,0,1000,600,159.724,0.197632,0.279296,0.41424,140.955
cat_1000x600 (Copy 1757).jpg,0,1000,600,146.238,0.197536,0.20672,0.565088,127.26
cat_1000x600 (Copy 1361).jpg,1,1000,600,198.687,0.18944,0.115072,0.467808,179.7
cat_1000x600 (Copy 1941).jpg,1,1000,600,162.105,0.188416,0.143808,0.492512,143.036
cat_1000x600 (Copy 1391).jpg,0,1000,600,162.361,0.19968,0.242432,0.421024,143.398
cat_1000x600 (Copy 1767).jpg,0,1000,600,136.287,0.206848,0.216032,0.536416,116.962
cat_1000x600 (Copy 1921).jpg,1,1000,600,202.004,0.19968,0.143008,0.554752,183.177
cat_1000x600 (Copy 1194).jpg,1,1000,600,202.269,0.19456,0.098624,0.383264,183.529
cat_1000x600 (Copy 247).jpg,0,1000,600,258.455,0.202752,0.2424,0.405856,239.509
cat_1000x600 (Copy 1225).jpg,0,1000,600,127.056,0.19968,0.260992,0.423936,108.128
cat_1000x600 (Copy 432).jpg,1,1000,600,164.744,0.194528,0.124032,0.370784,146.15
cat_1000x600 (Copy 1514).jpg,0,1000,600,147.109,0.202752,0.25168,0.416896,128.322
cat_1000x600 (Copy 1672).jpg,1,1000,600,158.129,0.196608,0.105344,0.38048,139.472
cat_1000x600 (Copy 1328).jpg,0,1000,600,124.379,0.201824,0.242592,0.420064,105.522
cat_1000x600 (Copy 36).jpg,1,1000,600,369.223,0.196608,0.098752,0.373888,350.745
cat_1000x600 (Copy 1714).jpg,1,1000,600,137.502,0.201728,0.124096,0.399968,118.746
cat_1000x600 (Copy 686).jpg,0,1000,600,158.894,0.203776,0.251584,0.418592,140.195
cat_1000x600 (Copy 1441).jpg,1,1000,600,123.442,0.188416,0.1056,0.359712,104.777
cat_1000x600 (Copy 1924).jpg,0,1000,600,127.198,0.196608,0.260064,0.42768,108.466
cat_1000x600 (Copy 1018).jpg,1,1000,600,156.292,0.206688,0.161088,0.497952,137.234
cat_1000x600 (Copy 1111).jpg,0,1000,600,557.379,0.204736,0.197792,0.539168,538.02
cat_1000x600 (Copy 1083).jpg,1,1000,600,144.766,0.19456,0.105728,0.390048,126.216
cat_1000x600 (Copy 620).jpg,0,1000,600,166.612,0.202752,0.289312,0.462272,147.705
cat_1000x600 (Copy 703).jpg,0,1000,600,135.678,0.201728,0.197408,0.4096,116.939
cat_1000x600 (Copy 1773).jpg,1,1000,600,325.149,0.19456,0.124032,0.381024,306.451
cat_1000x600 (Copy 1008).jpg,1,1000,600,136.407,0.188416,0.133792,0.374464,117.591
