filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 750).jpg,0,1000,600,474.694,0.07456,0.19808,0.560672,455.412
cat_1000x600 (Copy 2976).jpg,0,1000,600,328.798,0.074752,0.241984,0.530112,309.701
cat_1000x600 (Copy 4285).jpg,0,1000,600,475.162,0.07456,0.197088,0.57536,455.523
cat_1000x600 (Copy 3755).jpg,0,1000,600,643.814,0.074656,0.20624,0.5632,624.387
cat_1000x600 (Copy 1301).jpg,0,1000,600,262.736,0.072704,0.206304,0.561248,243.429
cat_1000x600 (Copy 2316).jpg,0,1000,600,454.675,0.072704,0.269216,0.441856,435.666
cat_1000x600 (Copy 2569).jpg,0,1000,600,603.134,0.074752,0.25984,0.534976,583.88
cat_1000x600 (Copy 343).jpg,0,1000,600,138.474,0.072704,0.205216,0.564768,119.116
cat_1000x600 (Copy 4939).jpg,0,1000,600,578.827,0.07168,0.269088,0.441856,519.528
cat_1000x600 (Copy 4810).jpg,0,1000,600,294.18,0.074752,0.20624,0.615616,274.512
cat_1000x600 (Copy 2507).jpg,0,1000,600,611.096,0.0768,0.206272,0.543904,591.927
cat_1000x600 (Copy 2686).jpg,0,1000,600,370.304,0.070656,0.278464,0.422432,351.129
cat_1000x600 (Copy 1552).jpg,0,1000,600,661.399,0.074752,0.242368,0.540064,642.318
cat_1000x600 (Copy 3318).jpg,0,1000,600,144.924,0.073728,0.206912,0.566848,125.699
cat_1000x600 (Copy 4317).jpg,0,1000,600,542.647,0.072704,0.269056,0.447744,523.429
cat_1000x600 (Copy 1601).jpg,0,1000,600,369.222,0.072704,0.241984,0.404832,350.337
cat_1000x600 (Copy 4098).jpg,0,1000,600,269.914,0.071488,0.197088,0.597856,250.683
cat_1000x600 (Copy 1966).jpg,0,1000,600,132.336,0.072704,0.18992,0.439616,113.173
cat_1000x600 (Copy 4574).jpg,0,1000,600,820.55,0.070656,0.250656,0.53936,766.33
cat_1000x600 (Copy 2552).jpg,0,1000,600,545.345,0.075776,0.206336,0.60128,525.935
cat_1000x600 (Copy 2170).jpg,0,1000,600,129.128,0.074816,0.19728,0.571072,109.807
cat_1000x600 (Copy 2732).jpg,0,1000,600,549.504,0.072704,0.270272,0.422496,530.436
cat_1000x600 (Copy 2608).jpg,0,1000,600,483.267,0.071776,0.197088,0.560256,464.114
cat_1000x600 (Copy 720).jpg,0,1000,600,663.361,0.073728,0.19712,0.573376,644.084
cat_1000x600 (Copy 4474).jpg,0,1000,600,954.732,0.074752,0.250656,0.537056,935.306
cat_1000x600 (Copy 2146).jpg,0,1000,600,265.393,0.07456,0.206304,0.568192,245.841
cat_1000x600 (Copy 570).jpg,0,1000,600,977.765,0.074752,0.206528,0.569792,958.383
cat_1000x600 (Copy 3482).jpg,0,1000,600,280.145,0.072704,0.250208,0.423456,261
cat_1000x600 (Copy 2648).jpg,0,1000,600,894.123,0.074944,0.206272,0.560384,874.775
cat_1000x600 (Copy 2951).jpg,0,1000,600,164.964,0.074688,0.26928,0.558144,145.495
cat_1000x600 (Copy 3429).jpg,0,1000,600,600.009,0.073632,0.19024,0.445184,537.383
cat_1000x600 (Copy 3328).jpg,0,1000,600,555.251,0.074752,0.20656,0.564992,535.724
